HPLC.ID,sex,treatment,ID,conc.dnp,diet,days,Astaxanthin,B-Carotene,Hydroxyechinenone,volume,mass,asta.conc,b.carot.conc,hydroxy.conc,dietary.conc,ratio.conc,resp.min.mg,resp.min
38,F,DNP,DNP Female,2uM,algae,7,0.67111,0,0.01256,0.05,0.055,0.6101,0,0.011418182,0.011418182,0.981628563,-16.29521745,-0.89623696
39,F,DNP,DNP Female,2uM,algae,7,1.09867,0,0.01903,0.05,0.072,0.762965278,0,0.013215278,0.013215278,0.982973964,-4.515921134,-0.325146322
40,M,DNP,DNP Male,2uM,algae,7,1.77534,0.04577,0.02041,0.05,0.069,1.286478261,0.033166667,0.014789855,0.047956522,0.964062296,-7.796958112,-0.53799011
41,F,DNP,DNP Female,2uM,algae,7,1.1139,0,0.01925,0.05,0.073,0.762945205,0,0.013184932,0.013184932,0.983011957,-13.98582625,-1.020965316
42,M,DNP,DNP Male,2uM,algae,7,1.41291,0.01878,0.01583,0.05,0.064,1.103835938,0.014671875,0.012367188,0.027039063,0.97609014,-18.59259628,-1.189926162
43,M,DNP,DNP Male,2uM,algae,7,1.59708,0.05735,0.02251,0.05,0.054,1.478777778,0.053101852,0.020842593,0.073944445,0.952377544,-22.77375092,-1.22978255
44,F,Control,Control Female,2uM,yeast,7,0.49403,0,0.02054,0.05,0.044,0.561397727,0,0.023340909,0.023340909,0.960083176,-14.22846963,-0.626052664
45,M,Control,Control Male,2uM,yeast,7,0.57475,0,0.02254,0.05,0.039,0.736858974,0,0.028897436,0.028897436,0.962262887,-27.18086247,-1.060053636
46,M,Control,Control Male,2uM,yeast,7,0.32557,0,0.02036,0.05,0.029,0.561327586,0,0.035103448,0.035103448,0.941144163,-25.3617045,-0.735489431
47,M,Control,Control Male,2uM,yeast,7,0.41687,0,0.01809,0.05,0.032,0.651359375,0,0.028265625,0.028265625,0.958409969,-33.49987913,-1.071996132
48,F,DNP,DNP Female,2uM,yeast,7,0.48243,0,0.01818,0.05,0.036,0.670041667,0,0.02525,0.02525,0.963684305,-36.86566256,-1.327163852
49,F,DNP,DNP Female,2uM,yeast,7,0.71867,0,0.02414,0.05,0.043,0.835662791,0,0.028069767,0.028069767,0.967501784,-18.89445215,-0.812461442
50,F,DNP,DNP Female,2uM,yeast,7,0.69671,0,0.02228,0.05,0.047,0.741180851,0,0.023702128,0.023702128,0.969012086,-35.5688594,-1.671736392
51,M,DNP,DNP Male,2uM,yeast,7,0.33613,0,0.01083,0.05,0.038,0.442276316,0,0.01425,0.01425,0.968786027,-17.47334849,-0.663987243
52,M,DNP,DNP Male,2uM,yeast,7,0.52411,0,0.01777,0.05,0.044,0.595579545,0,0.020193182,0.020193182,0.967206761,-34.20027955,-1.5048123
53,M,DNP,DNP Male,2uM,yeast,7,0.35274,0,0,0.05,0.037,0.476675676,0,0,0,1,-31.94180585,-1.181846816
54,M,DNP,DNP Male,2uM,yeast,7,0.65974,0,0.02056,0.05,0.041,0.804560976,0,0.025073171,0.025073171,0.969778039,-30.5506519,-1.252576728
55,M,DNP,DNP Male,2uM,yeast,7,0.62477,0,0.02233,0.05,0.045,0.694188889,0,0.024811111,0.024811111,0.965492196,-14.02690305,-0.631210637
56,M,DNP,DNP Male,2uM,yeast,7,0.6362,0,0.02145,0.05,0.044,0.722954545,0,0.024375,0.024375,0.967383867,-13.43026233,-0.590931543
57,M,DNP,DNP Male,2uM,yeast,7,0.57204,0,0.02439,0.05,0.042,0.681,0,0.029035714,0.029035714,0.959106685,-8.190223658,-0.343989394
58,M,DNP,DNP Male,2uM,yeast,7,0.52676,0,0.01497,0.05,0.045,0.585288889,0,0.016633333,0.016633333,0.972366308,-30.88676847,-1.389904581
59,M,Control,Control Male,2uM,yeast,7,0.42589,0,0.01866,0.05,0.041,0.519378049,0,0.022756098,0.022756098,0.958024968,-8.064297304,-0.330636189
60,M,Control,Control Male,2uM,yeast,7,0.22906,0,0,0.05,0.039,0.293666667,0,0,0,1,-16.17391054,-0.630782511
61,M,Control,Control Male,2uM,yeast,7,0.57306,0,0.02681,0.05,0.046,0.622891304,0,0.029141304,0.029141304,0.955306984,-25.04021994,-1.151850117
62,M,Control,Control Male,2uM,yeast,7,0.50694,0,0.01499,0.05,0.047,0.539297872,0,0.015946809,0.015946809,0.971279673,-16.73994965,-0.786777634
